,location,day,month,year,total_cases,day count,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,India,30,1,2020,1.0,1,1.0,,,,,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
1,India,31,1,2020,1.0,2,0.0,,,,,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
2,India,2,1,2020,1.0,3,0.0,,,,,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
3,India,2,2,2020,2.0,4,1.0,,,,,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
4,India,2,3,2020,3.0,5,1.0,,,,,0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
5,India,2,4,2020,3.0,6,0.0,0.429,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
6,India,2,5,2020,3.0,7,0.0,0.429,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
7,India,2,6,2020,3.0,8,0.0,0.28600000000000003,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
8,India,2,7,2020,3.0,9,0.0,0.28600000000000003,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
9,India,2,8,2020,3.0,10,0.0,0.28600000000000003,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
